regex,matcher,regex_length,regex_complexity,input_file,input_file_size (bytes),execution_time (ms),file_type
\b[0-9]{2}\b,-P,12,7.2,58.txt,62860,5.637168884277344,text
\b[0-9]{2}\b,-P,12,7.2,42.txt,2173080,27.117172876993816,text
\b[0-9]{2}\b,-P,12,7.2,55.txt,754320,17.855087916056316,text
\b[0-9]{2}\b,-P,12,7.2,46.txt,90545,5.624294281005859,text
\b[0-9]{2}\b,-P,12,7.2,10.txt,1022010,14.979998270670572,text
\b[0-9]{2}\b,-P,12,7.2,47.txt,18109,4.93160883585612,text
\b[0-9]{2}\b,-P,12,7.2,32.txt,997680,15.443960825602213,text
\b[0-9]{2}\b,-P,12,7.2,15.txt,2064090,21.04465166727702,text
\b[0-9]{2}\b,-P,12,7.2,12.txt,16512720,66.54731432596843,text
\b[0-9]{2}\b,-P,12,7.2,59.txt,12572,4.421313603719075,text
\b[0-9]{2}\b,-P,12,7.2,33.txt,498840,8.136908213297525,text
\b[0-9]{2}\b,-P,12,7.2,30.txt,3990720,34.37193234761556,text
\b[0-9]{2}\b,-P,12,7.2,18.txt,13598640,48.697471618652344,text
\b[0-9]{2}\b,-P,12,7.2,20.txt,3399660,23.058255513509113,text
\b[0-9]{2}\b,-P,12,7.2,38.txt,709080,13.010422388712565,text
\b[0-9]{2}\b,-P,12,7.2,25.txt,3492180,25.724331537882488,text
\b[0-9]{2}\b,-P,12,7.2,3.txt,6045810,37.66338030497233,text
\b[0-9]{2}\b,-P,12,7.2,0.txt,48366480,247.941255569458,text
\b[0-9]{2}\b,-P,12,7.2,41.txt,23636,8.674542109171549,text
\b[0-9]{2}\b,-P,12,7.2,9.txt,3066030,27.040878931681316,text
\b[0-9]{2}\b,-P,12,7.2,53.txt,14885,3.9751529693603516,text
\b[0-9]{2}\b,-P,12,7.2,50.txt,446550,10.287920633951822,text
\b[0-9]{2}\b,-P,12,7.2,11.txt,204402,7.027864456176758,text
\b[0-9]{2}\b,-P,12,7.2,19.txt,6799320,34.43249066670736,text
\b[0-9]{2}\b,-P,12,7.2,21.txt,1699830,16.156117121378582,text
\b[0-9]{2}\b,-P,12,7.2,51.txt,223275,7.5651804606119795,text
\b[0-9]{2}\b,-P,12,7.2,35.txt,33256,5.129655202229817,text
\b[0-9]{2}\b,-P,12,7.2,17.txt,137606,5.959987640380859,text
\b[0-9]{2}\b,-P,12,7.2,49.txt,893100,15.291055043538412,text
\b[0-9]{2}\b,-P,12,7.2,24.txt,6984360,39.08769289652506,text
\b[0-9]{2}\b,-P,12,7.2,23.txt,113322,4.407326380411784,text
\b[0-9]{2}\b,-P,12,7.2,14.txt,4128180,30.059099197387695,text
\b[0-9]{2}\b,-P,12,7.2,31.txt,1995360,21.754026412963867,text
\b[0-9]{2}\b,-P,12,7.2,57.txt,188580,7.6418717702229815,text
\b[0-9]{2}\b,-P,12,7.2,7.txt,12264120,66.60040219624837,text
\b[0-9]{2}\b,-P,12,7.2,52.txt,74425,5.332708358764648,text
\b[0-9]{2}\b,-P,12,7.2,40.txt,118180,5.9477488199869795,text
\b[0-9]{2}\b,-P,12,7.2,4.txt,2015270,19.944429397583008,text
\b[0-9]{2}\b,-P,12,7.2,8.txt,6132060,41.00473721822103,text
\b[0-9]{2}\b,-P,12,7.2,56.txt,377160,8.31302007039388,text
\b[0-9]{2}\b,-P,12,7.2,39.txt,354540,8.69599978129069,text
\b[0-9]{2}\b,-P,12,7.2,6.txt,24528240,132.0967674255371,text
\b[0-9]{2}\b,-P,12,7.2,44.txt,543270,13.338486353556315,text
\b[0-9]{2}\b,-P,12,7.2,29.txt,58203,4.980007807413737,text
\b[0-9]{2}\b,-P,12,7.2,37.txt,1418160,18.723408381144207,text
\b[0-9]{2}\b,-P,12,7.2,16.txt,688030,10.607560475667318,text
\b[0-9]{2}\b,-P,12,7.2,13.txt,8256360,44.3574587504069,text
\b[0-9]{2}\b,-P,12,7.2,28.txt,291015,5.793333053588867,text
\b[0-9]{2}\b,-P,12,7.2,54.txt,1508640,24.834473927815754,text
\b[0-9]{2}\b,-P,12,7.2,43.txt,1086540,14.642477035522461,text
\b[0-9]{2}\b,-P,12,7.2,2.txt,12091620,52.92773246765137,text
\b[0-9]{2}\b,-P,12,7.2,36.txt,2836320,27.548551559448242,text
\b[0-9]{2}\b,-P,12,7.2,26.txt,1746090,16.697406768798828,text
\b[0-9]{2}\b,-P,12,7.2,5.txt,403054,8.02302360534668,text
\b[0-9]{2}\b,-P,12,7.2,34.txt,166280,6.47433598836263,text
\b[0-9]{2}\b,-P,12,7.2,1.txt,24183240,123.14089139302571,text
\b[0-9]{2}\b,-x,12,7.2,27.txt,873045,5.081892013549805,text
\b[0-9]{2}\b,-x,12,7.2,45.txt,271635,3.7720203399658203,text
\b[0-9]{2}\b,-x,12,7.2,22.txt,566610,3.6362806955973306,text
\b[0-9]{2}\b,-x,12,7.2,48.txt,1786200,4.7270456949869795,text
\b[0-9]{2}\b,-x,12,7.2,58.txt,62860,3.323713938395182,text
\b[0-9]{2}\b,-x,12,7.2,42.txt,2173080,3.3661524454752603,text
\b[0-9]{2}\b,-x,12,7.2,55.txt,754320,5.017916361490886,text
\b[0-9]{2}\b,-x,12,7.2,46.txt,90545,3.9275487263997397,text
\b[0-9]{2}\b,-x,12,7.2,10.txt,1022010,4.840453465779622,text
\b[0-9]{2}\b,-x,12,7.2,47.txt,18109,3.592332204182943,text
\b[0-9]{2}\b,-x,12,7.2,32.txt,997680,4.663785298665364,text
\b[0-9]{2}\b,-x,12,7.2,15.txt,2064090,4.643042882283528,text
\b[0-9]{2}\b,-x,12,7.2,12.txt,16512720,8.182446161905924,text
\b[0-9]{2}\b,-x,12,7.2,59.txt,12572,2.0105838775634766,text
\b[0-9]{2}\b,-x,12,7.2,33.txt,498840,4.548788070678711,text
\b[0-9]{2}\b,-x,12,7.2,30.txt,3990720,6.039539972941081,text
\b[0-9]{2}\b,-x,12,7.2,18.txt,13598640,6.834189097086589,text
\b[0-9]{2}\b,-x,12,7.2,20.txt,3399660,5.500475565592448,text
\b[0-9]{2}\b,-x,12,7.2,38.txt,709080,4.463354746500651,text
\b[0-9]{2}\b,-x,12,7.2,25.txt,3492180,5.7372252146403,text
\b[0-9]{2}\b,-x,12,7.2,3.txt,6045810,6.699879964192708,text
\b[0-9]{2}\b,-x,12,7.2,0.txt,48366480,16.781965891520183,text
\b[0-9]{2}\b,-x,12,7.2,41.txt,23636,2.16825803120931,text
\b[0-9]{2}\b,-x,12,7.2,9.txt,3066030,3.0869642893473306,text
\b[0-9]{2}\b,-x,12,7.2,53.txt,14885,3.377834955851237,text
\b[0-9]{2}\b,-x,12,7.2,50.txt,446550,3.2237370808919272,text
\b[0-9]{2}\b,-x,12,7.2,11.txt,204402,4.016558329264323,text
\b[0-9]{2}\b,-x,12,7.2,19.txt,6799320,6.398598353068034,text
\b[0-9]{2}\b,-x,12,7.2,21.txt,1699830,3.619035085042318,text
\b[0-9]{2}\b,-x,12,7.2,51.txt,223275,2.925713857014974,text
\b[0-9]{2}\b,-x,12,7.2,35.txt,33256,2.4602413177490234,text
\b[0-9]{2}\b,-x,12,7.2,17.txt,137606,2.3418267567952475,text
\b[0-9]{2}\b,-x,12,7.2,49.txt,893100,2.3359457651774087,text
\b[0-9]{2}\b,-x,12,7.2,24.txt,6984360,3.442843755086263,text
\b[0-9]{2}\b,-x,12,7.2,23.txt,113322,1.9518534342447917,text
\b[0-9]{2}\b,-x,12,7.2,14.txt,4128180,2.7136007944742837,text
\b[0-9]{2}\b,-x,12,7.2,31.txt,1995360,2.1419525146484375,text
\b[0-9]{2}\b,-x,12,7.2,57.txt,188580,1.8525123596191406,text
\b[0-9]{2}\b,-x,12,7.2,7.txt,12264120,4.447062810262044,text
\b[0-9]{2}\b,-x,12,7.2,52.txt,74425,1.835187276204427,text
\b[0-9]{2}\b,-x,12,7.2,40.txt,118180,1.7145474751790364,text
\b[0-9]{2}\b,-x,12,7.2,4.txt,2015270,1.9423961639404297,text
\b[0-9]{2}\b,-x,12,7.2,8.txt,6132060,2.811431884765625,text
\b[0-9]{2}\b,-x,12,7.2,56.txt,377160,1.7960071563720703,text
\b[0-9]{2}\b,-x,12,7.2,39.txt,354540,1.8264452616373699,text
\b[0-9]{2}\b,-x,12,7.2,6.txt,24528240,5.995829900105794,text
\b[0-9]{2}\b,-x,12,7.2,44.txt,543270,1.7832120259602864,text
\b[0-9]{2}\b,-x,12,7.2,29.txt,58203,1.7238457997639973,text
\b[0-9]{2}\b,-x,12,7.2,37.txt,1418160,1.872698465983073,text
\b[0-9]{2}\b,-x,12,7.2,16.txt,688030,1.8053849538167317,text
\b[0-9]{2}\b,-x,12,7.2,13.txt,8256360,3.1855901082356772,text
\b[0-9]{2}\b,-x,12,7.2,28.txt,291015,2.088626225789388,text
\b[0-9]{2}\b,-x,12,7.2,54.txt,1508640,2.359628677368164,text
\b[0-9]{2}\b,-x,12,7.2,43.txt,1086540,1.8715858459472656,text
\b[0-9]{2}\b,-x,12,7.2,2.txt,12091620,3.4895737965901694,text
\b[0-9]{2}\b,-x,12,7.2,36.txt,2836320,2.0813941955566406,text
\b[0-9]{2}\b,-x,12,7.2,26.txt,1746090,1.9406477610270183,text
\b[0-9]{2}\b,-x,12,7.2,5.txt,403054,1.725912094116211,text
\b[0-9]{2}\b,-x,12,7.2,34.txt,166280,1.7562707265218098,text
\b[0-9]{2}\b,-x,12,7.2,1.txt,24183240,5.855560302734375,text
\bcat\b,-E,7,2.7,27.txt,873045,10.230700174967447,text
\bcat\b,-E,7,2.7,45.txt,271635,8.663495381673178,text
\bcat\b,-E,7,2.7,22.txt,566610,8.96159807840983,text
\bcat\b,-E,7,2.7,48.txt,1786200,13.979673385620117,text
\bcat\b,-E,7,2.7,58.txt,62860,5.087614059448242,text
\bcat\b,-E,7,2.7,42.txt,2173080,27.574936548868816,text
\bcat\b,-E,7,2.7,55.txt,754320,8.513768513997396,text
\bcat\b,-E,7,2.7,46.txt,90545,6.044546763102214,text
\bcat\b,-E,7,2.7,10.txt,1022010,8.503993352254232,text
\bcat\b,-E,7,2.7,47.txt,18109,4.984378814697266,text
\bcat\b,-E,7,2.7,32.txt,997680,12.195110321044922,text
\bcat\b,-E,7,2.7,15.txt,2064090,15.317201614379883,text
\bcat\b,-E,7,2.7,12.txt,16512720,48.72425397237142,text
\bcat\b,-E,7,2.7,59.txt,12572,4.535357157389323,text
\bcat\b,-E,7,2.7,33.txt,498840,8.125782012939453,text
\bcat\b,-E,7,2.7,30.txt,3990720,27.301947275797527,text
\bcat\b,-E,7,2.7,18.txt,13598640,53.24761072794596,text
